Full Evaluation Report

--- Bin: 0 (No Fire) fire pixels (202 samples) ---
sample_1054.npy: GT=0, AUPRC=0.0000
sample_1056.npy: GT=0, AUPRC=0.0000
sample_1057.npy: GT=0, AUPRC=0.0000
sample_1133.npy: GT=0, AUPRC=0.0000
sample_1134.npy: GT=0, AUPRC=0.0000
sample_1135.npy: GT=0, AUPRC=0.0000
sample_1136.npy: GT=0, AUPRC=0.0000
sample_1137.npy: GT=0, AUPRC=0.0000
sample_1138.npy: GT=0, AUPRC=0.0000
sample_1139.npy: GT=0, AUPRC=0.0000
sample_1140.npy: GT=0, AUPRC=0.0000
sample_1141.npy: GT=0, AUPRC=0.0000
sample_1142.npy: GT=0, AUPRC=0.0000
sample_1144.npy: GT=0, AUPRC=0.0000
sample_1145.npy: GT=0, AUPRC=0.0000
sample_1146.npy: GT=0, AUPRC=0.0000
sample_1211.npy: GT=0, AUPRC=0.0000
sample_1213.npy: GT=0, AUPRC=0.0000
sample_1214.npy: GT=0, AUPRC=0.0000
sample_1215.npy: GT=0, AUPRC=0.0000
sample_1217.npy: GT=0, AUPRC=0.0000
sample_1218.npy: GT=0, AUPRC=0.0000
sample_1219.npy: GT=0, AUPRC=0.0000
sample_1220.npy: GT=0, AUPRC=0.0000
sample_1301.npy: GT=0, AUPRC=0.0000
sample_1302.npy: GT=0, AUPRC=0.0000
sample_1303.npy: GT=0, AUPRC=0.0000
sample_1304.npy: GT=0, AUPRC=0.0000
sample_1305.npy: GT=0, AUPRC=0.0000
sample_1307.npy: GT=0, AUPRC=0.0000
sample_1308.npy: GT=0, AUPRC=0.0000
sample_1312.npy: GT=0, AUPRC=0.0000
sample_1313.npy: GT=0, AUPRC=0.0000
sample_1315.npy: GT=0, AUPRC=0.0000
sample_1393.npy: GT=0, AUPRC=0.0000
sample_1394.npy: GT=0, AUPRC=0.0000
sample_1395.npy: GT=0, AUPRC=0.0000
sample_1396.npy: GT=0, AUPRC=0.0000
sample_1397.npy: GT=0, AUPRC=0.0000
sample_1398.npy: GT=0, AUPRC=0.0000
sample_1399.npy: GT=0, AUPRC=0.0000
sample_1400.npy: GT=0, AUPRC=0.0000
sample_1401.npy: GT=0, AUPRC=0.0000
sample_1403.npy: GT=0, AUPRC=0.0000
sample_1404.npy: GT=0, AUPRC=0.0000
sample_1406.npy: GT=0, AUPRC=0.0000
sample_1407.npy: GT=0, AUPRC=0.0000
sample_1409.npy: GT=0, AUPRC=0.0000
sample_1410.npy: GT=0, AUPRC=0.0000
sample_1479.npy: GT=0, AUPRC=0.0000
sample_1480.npy: GT=0, AUPRC=0.0000
sample_1481.npy: GT=0, AUPRC=0.0000
sample_1483.npy: GT=0, AUPRC=0.0000
sample_1484.npy: GT=0, AUPRC=0.0000
sample_1486.npy: GT=0, AUPRC=0.0000
sample_1487.npy: GT=0, AUPRC=0.0000
sample_1488.npy: GT=0, AUPRC=0.0000
sample_1490.npy: GT=0, AUPRC=0.0000
sample_1492.npy: GT=0, AUPRC=0.0000
sample_1495.npy: GT=0, AUPRC=0.0000
sample_1539.npy: GT=0, AUPRC=0.0000
sample_1574.npy: GT=0, AUPRC=0.0000
sample_1576.npy: GT=0, AUPRC=0.0000
sample_1578.npy: GT=0, AUPRC=0.0000
sample_1580.npy: GT=0, AUPRC=0.0000
sample_1581.npy: GT=0, AUPRC=0.0000
sample_1582.npy: GT=0, AUPRC=0.0000
sample_1583.npy: GT=0, AUPRC=0.0000
sample_1584.npy: GT=0, AUPRC=0.0000
sample_1585.npy: GT=0, AUPRC=0.0000
sample_1586.npy: GT=0, AUPRC=0.0000
sample_1587.npy: GT=0, AUPRC=0.0000
sample_1588.npy: GT=0, AUPRC=0.0000
sample_1589.npy: GT=0, AUPRC=0.0000
sample_1591.npy: GT=0, AUPRC=0.0000
sample_1592.npy: GT=0, AUPRC=0.0000

--- Bin: 1 - 50 fire pixels (986 samples) ---
sample_0119.npy: GT=1, AUPRC=1.0000
sample_0189.npy: GT=1, AUPRC=1.0000
sample_0287.npy: GT=1, AUPRC=1.0000
sample_0331.npy: GT=1, AUPRC=1.0000
sample_0424.npy: GT=1, AUPRC=1.0000
sample_0507.npy: GT=2, AUPRC=1.0000
sample_0584.npy: GT=6, AUPRC=1.0000
sample_0628.npy: GT=3, AUPRC=1.0000
sample_0794.npy: GT=2, AUPRC=1.0000
sample_0797.npy: GT=1, AUPRC=1.0000
sample_0830.npy: GT=1, AUPRC=1.0000
sample_1059.npy: GT=1, AUPRC=1.0000
sample_1091.npy: GT=8, AUPRC=1.0000
sample_1118.npy: GT=2, AUPRC=1.0000
sample_1179.npy: GT=2, AUPRC=1.0000
sample_1248.npy: GT=4, AUPRC=1.0000
sample_1275.npy: GT=1, AUPRC=1.0000
sample_1318.npy: GT=1, AUPRC=1.0000
sample_1408.npy: GT=1, AUPRC=1.0000
sample_1422.npy: GT=1, AUPRC=1.0000
sample_1526.npy: GT=1, AUPRC=1.0000
sample_1545.npy: GT=2, AUPRC=1.0000
sample_1556.npy: GT=2, AUPRC=1.0000
sample_1598.npy: GT=1, AUPRC=1.0000
sample_1622.npy: GT=2, AUPRC=1.0000
sample_1638.npy: GT=3, AUPRC=1.0000
sample_0195.npy: GT=14, AUPRC=1.0000
sample_0746.npy: GT=7, AUPRC=1.0000
sample_1048.npy: GT=7, AUPRC=1.0000
sample_0709.npy: GT=14, AUPRC=0.9790
sample_1290.npy: GT=6, AUPRC=0.9762
sample_1386.npy: GT=7, AUPRC=0.9683
sample_0636.npy: GT=11, AUPRC=0.9469
sample_0725.npy: GT=27, AUPRC=0.9444
sample_0237.npy: GT=5, AUPRC=0.9429
sample_1194.npy: GT=23, AUPRC=0.9367
sample_0984.npy: GT=8, AUPRC=0.9306
sample_0535.npy: GT=7, AUPRC=0.9286
sample_1083.npy: GT=5, AUPRC=0.9267
sample_1244.npy: GT=5, AUPRC=0.9267
sample_0757.npy: GT=8, AUPRC=0.9260
sample_1555.npy: GT=19, AUPRC=0.9208
sample_0054.npy: GT=3, AUPRC=0.9167
sample_0815.npy: GT=3, AUPRC=0.9167
sample_1024.npy: GT=3, AUPRC=0.9167
sample_1182.npy: GT=3, AUPRC=0.9167
sample_1637.npy: GT=3, AUPRC=0.9167
sample_0671.npy: GT=6, AUPRC=0.9151
sample_0458.npy: GT=19, AUPRC=0.9150
sample_1493.npy: GT=11, AUPRC=0.9118
sample_0113.npy: GT=11, AUPRC=0.9073
sample_0923.npy: GT=24, AUPRC=0.9043
sample_0523.npy: GT=5, AUPRC=0.9029
sample_0340.npy: GT=44, AUPRC=0.9013
sample_1629.npy: GT=27, AUPRC=0.9003
sample_0987.npy: GT=12, AUPRC=0.8994
sample_0680.npy: GT=13, AUPRC=0.8984
sample_0645.npy: GT=23, AUPRC=0.8948
sample_0723.npy: GT=9, AUPRC=0.8911
sample_1536.npy: GT=5, AUPRC=0.8909
sample_0485.npy: GT=18, AUPRC=0.8880
sample_0089.npy: GT=4, AUPRC=0.8875
sample_0437.npy: GT=4, AUPRC=0.8875
sample_0468.npy: GT=4, AUPRC=0.8875
sample_0086.npy: GT=10, AUPRC=0.8854
sample_0210.npy: GT=10, AUPRC=0.8854
sample_1414.npy: GT=8, AUPRC=0.8800
sample_0181.npy: GT=15, AUPRC=0.8782
sample_1061.npy: GT=4, AUPRC=0.8750
sample_1567.npy: GT=19, AUPRC=0.8740
sample_1540.npy: GT=6, AUPRC=0.8734
sample_0638.npy: GT=11, AUPRC=0.8729
sample_0029.npy: GT=11, AUPRC=0.8725
sample_0799.npy: GT=6, AUPRC=0.8722
sample_1454.npy: GT=6, AUPRC=0.8708
sample_1523.npy: GT=11, AUPRC=0.8707
sample_1237.npy: GT=12, AUPRC=0.8696
